model,validation,n,positives,positive_rate,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,brier_score,tn,fp,fn,tp
Logistic Regression,random_stratified_75_25,2616,154,0.058868501529051986,0.9518348623853211,0.9713673816029624,0.5503597122302158,0.9935064935064936,0.9492282696994313,0.7083333333333334,0.9858182029181217,0.7930340507135052,0.04077218754516504,2337,125,1,153
Random Forest,random_stratified_75_25,2616,154,0.058868501529051986,0.9617737003058104,0.9066433160665492,0.6310679611650486,0.8441558441558441,0.9691307879772543,0.7222222222222222,0.9822153881861437,0.765356107341282,0.0244899056825614,2386,76,24,130
Extra Trees,random_stratified_75_25,2616,154,0.058868501529051986,0.9617737003058104,0.9005559834154473,0.6336633663366337,0.8311688311688312,0.9699431356620634,0.7191011235955056,0.9830448795720933,0.7574006877540964,0.025156860018078365,2388,74,26,128
Hist Gradient Boosting,random_stratified_75_25,2616,154,0.058868501529051986,0.963302752293578,0.8222330066359311,0.6986301369863014,0.6623376623376623,0.9821283509341998,0.68,0.9807924609914862,0.7846300601482564,0.025639623215273227,2418,44,52,102
