model,accuracy,precision,recall,f1,roc_auc,confusion_matrix
Logistic Regression,0.9518348623853211,0.5503597122302158,0.9935064935064936,0.7083333333333334,0.9858182029181217,"[[2337, 125], [1, 153]]"
Extra Trees,0.9617737003058104,0.6336633663366337,0.8311688311688312,0.7191011235955056,0.9830448795720933,"[[2388, 74], [26, 128]]"
Random Forest,0.9617737003058104,0.6310679611650486,0.8441558441558441,0.7222222222222222,0.9822153881861437,"[[2386, 76], [24, 130]]"
Hist Gradient Boosting,0.963302752293578,0.6986301369863014,0.6623376623376623,0.68,0.9807924609914862,"[[2418, 44], [52, 102]]"
